"filename", "language", "Java", "PostCSS", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Downloads\extracted_from_ghj\manga-reader-dev\README.md", "Markdown", 0, 0, 0, 47, 0, 0, 18, 65
"d:\Downloads\extracted_from_ghj\manga-reader-dev\out\linecounter.json", "JSON", 0, 0, 0, 0, 7184, 0, 0, 7184
"d:\Downloads\extracted_from_ghj\manga-reader-dev\pom.xml", "XML", 0, 0, 84, 0, 0, 5, 8, 97
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\MangaReaderApplication.java", "Java", 21, 0, 0, 0, 0, 0, 8, 29
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\model\Chapter.java", "Java", 80, 0, 0, 0, 0, 0, 23, 103
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\model\Manga.java", "Java", 95, 0, 0, 0, 0, 0, 27, 122
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\model\SearchParams.java", "Java", 99, 0, 0, 0, 0, 4, 26, 129
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\model\SearchResult.java", "Java", 60, 0, 0, 0, 0, 4, 16, 80
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\service\LibraryService.java", "Java", 101, 0, 0, 0, 0, 109, 40, 250
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\service\MangaService.java", "Java", 19, 0, 0, 0, 0, 0, 14, 33
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\service\impl\DefaultMangaServiceImpl.java", "Java", 7, 0, 0, 0, 0, 0, 3, 10
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\service\impl\LibraryServiceImpl.java", "Java", 340, 0, 0, 0, 0, 7, 68, 415
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\service\impl\MangaServiceImpl.java", "Java", 141, 0, 0, 0, 0, 0, 21, 162
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\source\MangaSource.java", "Java", 19, 0, 0, 0, 0, 12, 12, 43
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\source\impl\MangaDexSource.java", "Java", 516, 0, 0, 0, 0, 1, 65, 582
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\component\Sidebar.java", "Java", 91, 0, 0, 0, 0, 0, 28, 119
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\component\ThemeManager.java", "Java", 151, 0, 0, 0, 0, 32, 36, 219
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\dialog\AddSeriesModal.java", "Java", 546, 0, 0, 0, 0, 40, 95, 681
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\AddSeriesView.java", "Java", 786, 0, 0, 0, 0, 6, 133, 925
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\LibraryView.java", "Java", 470, 0, 0, 0, 0, 32, 91, 593
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\MainView.java", "Java", 200, 0, 0, 0, 0, 7, 50, 257
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\MangaDetailView.java", "Java", 1010, 0, 0, 0, 0, 0, 224, 1234
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\MangaReaderView.java", "Java", 710, 0, 0, 0, 0, 30, 146, 886
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\ui\view\SettingsView.java", "Java", 198, 0, 0, 0, 0, 0, 49, 247
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\util\ImageCache.java", "Java", 242, 0, 0, 0, 0, 62, 41, 345
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\util\Logger.java", "Java", 47, 0, 0, 0, 0, 75, 14, 136
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\com\mangareader\prototype\util\ThreadPoolManager.java", "Java", 152, 0, 0, 0, 0, 62, 29, 243
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\java\module-info.java", "Java", 31, 0, 0, 0, 0, 0, 2, 33
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\resources\styles\base.css", "PostCSS", 0, 140, 0, 0, 0, 20, 34, 194
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\resources\styles\dark-theme.css", "PostCSS", 0, 117, 0, 0, 0, 21, 29, 167
"d:\Downloads\extracted_from_ghj\manga-reader-dev\src\main\resources\styles\light-theme.css", "PostCSS", 0, 117, 0, 0, 0, 21, 29, 167
"Total", "-", 6132, 374, 84, 47, 7184, 550, 1379, 15750
